epoch,auc,binary_accuracy,loss,lr,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.5061069130897522,0.5,1.6649527549743652,0.001,0.4878048896789551,0.47999998927116394,0.7387561798095703,0.62109375,0.768257737159729,0.8095238208770752,0.375
1,0.6650679111480713,0.59765625,0.9922420978546143,0.001,0.5583333373069763,0.5726495981216431,0.7686625719070435,0.671875,0.6977072954177856,0.7472527623176575,0.5271317958831787
2,0.7104090452194214,0.6640625,0.9222408533096313,0.001,0.7050359845161438,0.6853147149085999,0.8111253976821899,0.73046875,0.5567894577980042,0.7142857313156128,0.7954545617103577
3,0.6982603073120117,0.62109375,0.940593957901001,0.001,0.6600000262260437,0.682758629322052,0.8368735909461975,0.73046875,0.5774572491645813,0.6705882549285889,0.8976377844810486
4,0.72576904296875,0.6875,0.8825451135635376,0.001,0.6666666865348816,0.75,0.8856443166732788,0.828125,0.42604121565818787,0.847328245639801,0.8222222328186035
5,0.8288766741752625,0.7421875,0.6529677510261536,0.001,0.75,0.7384615540504456,0.8807353973388672,0.7578125,0.5377274751663208,0.6623376607894897,0.9107142686843872
6,0.708465576171875,0.640625,0.9709327220916748,0.00090483745,0.6475409865379333,0.6171875,0.8735473155975342,0.76171875,0.5214940905570984,0.8500000238418579,0.5811966061592102
7,0.771697998046875,0.703125,0.792005181312561,0.0008187308,0.6969696879386902,0.71875,0.9118598699569702,0.83203125,0.37731730937957764,0.8208954930305481,0.8527131676673889
8,0.8258296847343445,0.75,0.6101312637329102,0.0007408183,0.7272727489471436,0.7394958138465881,0.8926397562026978,0.79296875,0.41789910197257996,0.8307692408561707,0.7769784331321716
9,0.8420954942703247,0.78515625,0.5985613465309143,0.0006703201,0.7767857313156128,0.7435897588729858,0.8819580674171448,0.796875,0.43609297275543213,0.7622950673103333,0.8017241358757019
10,0.8254272937774658,0.765625,0.6427181959152222,0.00060653075,0.7464788556098938,0.8153846263885498,0.9084554314613342,0.8125,0.3830217719078064,0.8046875,0.817460298538208
11,0.8392236232757568,0.7578125,0.6281540989875793,0.00054881175,0.8018018007278442,0.6899224519729614,0.8867953419685364,0.8203125,0.46615567803382874,0.7605633735656738,0.8999999761581421
12,0.8260869979858398,0.75,0.632561981678009,0.0004965854,0.707317054271698,0.7565217614173889,0.8952877521514893,0.796875,0.4122552275657654,0.8099173307418823,0.7716535329818726
13,0.8208326101303101,0.75,0.6618496179580688,0.00044932903,0.7565217614173889,0.707317054271698,0.9138582944869995,0.83984375,0.386362224817276,0.8014184236526489,0.89682537317276
14,0.8896713852882385,0.80078125,0.4911085367202759,0.0004065697,0.7660818696022034,0.922535240650177,0.9038673043251038,0.77734375,0.4475162625312805,0.7161290049552917,0.8951612710952759
15,0.8285104036331177,0.71875,0.6414098143577576,0.0003678795,0.732758641242981,0.6746031641960144,0.9184427261352539,0.828125,0.4331603944301605,0.9175257682800293,0.7120000123977661
16,0.7880772352218628,0.69921875,0.654560387134552,0.00033287113,0.6818181872367859,0.6410256624221802,0.895355224609375,0.8046875,0.4036622941493988,0.8046875,0.8046875
17,0.8472732901573181,0.73828125,0.5637423396110535,0.00030119426,0.7226890921592712,0.7166666388511658,0.9197862148284912,0.85546875,0.36013805866241455,0.8615384697914124,0.8549618124961853
18,0.8424975872039795,0.7421875,0.5765649676322937,0.00027253185,0.7338709831237793,0.7338709831237793,0.9530761241912842,0.8828125,0.2754164934158325,0.902255654335022,0.8759124279022217
19,0.8605510592460632,0.78125,0.5567071437835693,0.00024659702,0.7394366264343262,0.8467742204666138,0.925122082233429,0.8203125,0.3788336515426636,0.8818181753158569,0.7461538314819336
