epoch,auc,binary_accuracy,loss,lr,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.5567633509635925,0.5546875,1.2646193504333496,0.001,0.5470085740089417,0.5120000243186951,0.7142156958580017,0.66796875,0.7619608640670776,0.6734693646430969,0.7279411554336548
1,0.7278792858123779,0.66796875,0.8466639518737793,0.001,0.6379310488700867,0.632478654384613,0.7975645661354065,0.73046875,0.5974878668785095,0.717391312122345,0.7674418687820435
2,0.6861501336097717,0.6640625,1.0308903455734253,0.001,0.6912751793861389,0.7202796936035156,0.855755090713501,0.71875,0.5743282437324524,0.8571428656578064,0.5454545617103577
3,0.7301025390625,0.6796875,0.9348815679550171,0.001,0.7058823704719543,0.7448275685310364,0.8618385195732117,0.75390625,0.5948454141616821,0.6818181872367859,0.9448819160461426
4,0.700531005859375,0.6328125,1.10574209690094,0.001,0.6440678238868713,0.59375,0.8579124808311462,0.69140625,0.7430601119995117,0.6386138796806335,0.9555555582046509
5,0.8081195950508118,0.72265625,0.7343278527259827,0.001,0.7322834730148315,0.7153846025466919,0.8633742332458496,0.7734375,0.48829910159111023,0.7288135886192322,0.7678571343421936
6,0.770904541015625,0.71875,0.724833607673645,0.00090483745,0.6944444179534912,0.78125,0.8706880807876587,0.7421875,0.5402883291244507,0.8311688303947449,0.5470085740089417
7,0.757232666015625,0.6875,0.8760242462158203,0.0008187308,0.699999988079071,0.65625,0.885582685470581,0.76953125,0.5527623891830444,0.7034883499145508,0.9379844665527344
8,0.8346009850502014,0.76171875,0.6369806528091431,0.0007408183,0.7338709831237793,0.7647058963775635,0.9045379161834717,0.79296875,0.4111647605895996,0.8524590134620667,0.7482014298439026
9,0.8704728484153748,0.78515625,0.5033668279647827,0.0006703201,0.7540983557701111,0.7863247990608215,0.8868842720985413,0.78125,0.4201185703277588,0.7586206793785095,0.7586206793785095
10,0.8109890818595886,0.73828125,0.6520960927009583,0.00060653075,0.7368420958518982,0.7538461685180664,0.9070818424224854,0.83203125,0.4215121865272522,0.7862069010734558,0.9047619104385376
11,0.7926814556121826,0.703125,0.749835193157196,0.00054881175,0.7190082669258118,0.6744186282157898,0.9003370404243469,0.828125,0.4198915958404541,0.8454545736312866,0.7749999761581421
12,0.839777946472168,0.76953125,0.6127495765686035,0.0004965854,0.7333333492279053,0.7652173638343811,0.9052065014839172,0.8046875,0.3953036367893219,0.7810218930244446,0.8425197005271912
13,0.8428694009780884,0.76953125,0.6324253082275391,0.00044932903,0.7758620977401733,0.7317073345184326,0.9091270565986633,0.828125,0.3943694829940796,0.8059701323509216,0.8571428656578064
14,0.8558809757232666,0.8046875,0.603622555732727,0.0004065697,0.7839506268501282,0.8943662047386169,0.9004765152931213,0.76953125,0.5104973316192627,0.692307710647583,0.9435483813285828
15,0.8340354561805725,0.7578125,0.6199716329574585,0.0003678795,0.7539682388305664,0.7539682388305664,0.9228702187538147,0.8125,0.4004664719104767,0.8969072103500366,0.6959999799728394
16,0.8086146712303162,0.734375,0.7136727571487427,0.00033287113,0.737864077091217,0.6495726704597473,0.91607666015625,0.80859375,0.39146876335144043,0.8691588640213013,0.7265625
17,0.8327818512916565,0.734375,0.6286526918411255,0.00030119426,0.7096773982048035,0.7333333492279053,0.9273893237113953,0.83203125,0.34392309188842773,0.8235294222831726,0.8549618124961853
18,0.8446969389915466,0.7890625,0.6072150468826294,0.00027253185,0.7868852615356445,0.774193525314331,0.9515119791030884,0.875,0.284128338098526,0.8832116723060608,0.8832116723060608
19,0.8864553570747375,0.80078125,0.48089709877967834,0.00024659702,0.7829457521438599,0.8145161271095276,0.9407203793525696,0.87109375,0.32422736287117004,0.9075630307197571,0.8307692408561707
