epoch,auc,binary_accuracy,loss,lr,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.49190840125083923,0.5,1.774470567703247,0.001,0.4876033067703247,0.47200000286102295,0.5723748207092285,0.546875,0.8878334760665894,0.5403226017951965,0.5317460298538208
1,0.5961999297142029,0.58203125,1.291764736175537,0.001,0.5384615659713745,0.5982906222343445,0.6899834871292114,0.59765625,0.8655855655670166,0.6756756901741028,0.38759690523147583
2,0.618509829044342,0.5859375,1.195499062538147,0.001,0.6275861859321594,0.6363636255264282,0.7505497932434082,0.6875,0.6986637115478516,0.6604938507080078,0.810606062412262
3,0.6589313745498657,0.61328125,1.141027569770813,0.001,0.6575342416763306,0.6620689630508423,0.7567600607872009,0.65625,0.675396203994751,0.6196318864822388,0.7952755689620972
4,0.664520263671875,0.640625,1.1691477298736572,0.001,0.6451612710952759,0.625,0.7979492545127869,0.70703125,0.5997587442398071,0.7027027010917664,0.770370364189148
5,0.6581501960754395,0.609375,1.1122337579727173,0.001,0.6229507923126221,0.5846154093742371,0.7752046585083008,0.67578125,0.6235523819923401,0.5986394286155701,0.7857142686843872
6,0.6990966796875,0.6484375,0.9315922260284424,0.00090483745,0.641791045665741,0.671875,0.7888458371162415,0.69921875,0.6270238161087036,0.75,0.5128205418586731
7,0.6644287109375,0.60546875,1.0485478639602661,0.0008187308,0.6097561120986938,0.5859375,0.8110846281051636,0.70703125,0.5914320349693298,0.6730769276618958,0.8139534592628479
8,0.7166472673416138,0.65234375,0.9404625296592712,0.0007408183,0.6209677457809448,0.6470588445663452,0.8160548806190491,0.74609375,0.5665528774261475,0.7890625,0.7266187071800232
9,0.739346981048584,0.6875,0.8930166959762573,0.0006703201,0.6666666865348816,0.632478654384613,0.8241071701049805,0.73046875,0.5409414768218994,0.6880000233650208,0.7413793206214905
10,0.779151439666748,0.71875,0.7464078068733215,0.00060653075,0.7042253613471985,0.7692307829856873,0.8266178369522095,0.7265625,0.5764445066452026,0.6917808055877686,0.8015872836112976
11,0.7096685767173767,0.65234375,0.9615209698677063,0.00054881175,0.6639344096183777,0.6279069781303406,0.832628607749939,0.76171875,0.5687922239303589,0.8314606547355652,0.6166666746139526
12,0.7013259530067444,0.625,0.9437461495399475,0.0004965854,0.5840708017349243,0.573913037776947,0.8212170600891113,0.71484375,0.5465295910835266,0.732758641242981,0.6692913174629211
13,0.6837520599365234,0.609375,0.9448914527893066,0.00044932903,0.5877862572669983,0.6260162591934204,0.8336080312728882,0.7421875,0.5228279829025269,0.7459016442298889,0.7222222089767456
14,0.7435137033462524,0.66015625,0.8446276783943176,0.0004065697,0.7007299065589905,0.6760563254356384,0.8012585043907166,0.6875,0.6729352474212646,0.6279069781303406,0.8709677457809448
15,0.7727716565132141,0.7109375,0.837945282459259,0.0003678795,0.6710526347160339,0.8095238208770752,0.876274824142456,0.78125,0.48194119334220886,0.8556700944900513,0.6639999747276306
16,0.7397774457931519,0.6484375,0.8429945111274719,0.00033287113,0.658823549747467,0.47863247990608215,0.854766845703125,0.75,0.5059386491775513,0.801886796951294,0.6640625
17,0.7903493046760559,0.6953125,0.7060362100601196,0.00030119426,0.6615384817123413,0.7166666388511658,0.8655267357826233,0.78125,0.4609505832195282,0.7586206793785095,0.8396946787834167
18,0.7477394938468933,0.703125,0.8409260511398315,0.00027253185,0.6935483813285828,0.6935483813285828,0.8857265710830688,0.7890625,0.4306032061576843,0.8217054009437561,0.7737226486206055
19,0.7767900228500366,0.7109375,0.7652871608734131,0.00024659702,0.6953125,0.7177419066429138,0.8536324501037598,0.78125,0.49961960315704346,0.818965494632721,0.7307692170143127
