Pretrained Model,Test Loss,Test AUC,Test Accuracy,Test Precission,Test Recall,Test F1 Score
BiT MR50 X1,0.5564056038856506,0.8161648511886597,0.7336548566818237,0.75,0.700964629650116,0.7246537393049469
BiT MR50 X3,0.40036702156066895,0.9012532830238342,0.8135048151016235,0.8135048151016235,0.8135048151016235,0.8135048151016235
BiT MR101 X1,0.5521484613418579,0.818890392780304,0.7347266674041748,0.704291045665741,0.8092175722122192,0.7531172051117997
BiT MR101 X3,0.3818279504776001,0.9106932878494263,0.8327974081039429,0.8349514603614807,0.8295819759368896,0.8322580576553924
